Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
MANUAL_IMPORT,Kliimaministeerium,70003106,Keskkonnainspektsioon,GOV,
MANUAL_IMPORT,Kliimaministeerium,70000800,Lennuamet,GOV,
MANUAL_IMPORT,Narva-Jõesuu Linnavalitsus,75038061,Menetlusteenistus,GOV_KOV,
MANUAL_IMPORT,Tallinna Linnakantselei,75015195,Tallinna Spordi- ja Noorsooamet,GOV_KOV,
MANUAL_IMPORT,Kliimaministeerium,70002414,Veeteede Amet,GOV,
MANUAL_IMPORT,Regionaal- ja Põllumajandusministeerium,70000094,Veterinaar- ja Toiduamet,GOV,
MANUAL_IMPORT,Harju Maavalitsus,70002452,Harju Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Hiiu Maavalitsus,70001834,Hiiu Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Ida-Viru Maavalitsus,70001449,Ida-Viru Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Jõgeva Maavalitsus,70004117,Jõgeva Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Järva Maavalitsus,70001188,Järva Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Lääne Maavalitsus,70004301,Lääne Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Lääne-Viru Maavalitsus,70004714,Lääne-Viru Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Põlva Maavalitsus,70002093,Põlva Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Pärnu Maavalitsus,70000603,Pärnu Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Rapla Maavalitsus,70002880,Rapla Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Saare Maavalitsus,70002006,Saare Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Tartu Maavalitsus,70000622,Tartu Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Valga Maavalitsus,70002727,Valga Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Viljandi Maavalitsus,70002791,Viljandi Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Võru Maavalitsus,70003589,Võru Maavalitsus,GOV_KOV,
MANUAL_IMPORT,Abja Vallavalitsus,75015812,Abja Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Aegviidu Vallavalitsus,75021480,Aegviidu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Ahja Vallavalitsus,75008505,Ahja Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Alajõe Vallavalitsus,75008321,Alajõe Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Alatskivi Vallavalitsus,75006233,Alatskivi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Albu Vallavalitsus,75004346,Albu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Ambla Vallavalitsus,75003329,Ambla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Are Vallavalitsus,75004671,Are Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Aseri Vallavalitsus,75004174,Aseri Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Audru Vallavalitsus,75014296,Audru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Avanduse Vallavalitsus,75012765,Avanduse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Avinurme Vallavalitsus,75023935,Avinurme Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Emmaste Vallavalitsus,75009935,Emmaste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Haanja Vallavalitsus,75013003,Haanja Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Haaslava Vallavalitsus,75008255,Haaslava Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Halinga Vallavalitsus,75001767,Halinga Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Halliste Vallavalitsus,75010074,Halliste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Hanila Vallavalitsus,75014020,Hanila Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Helme Vallavalitsus,75004777,Helme Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Hiiu Vallavalitsus,75038612,Hiiu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Hummuli Vallavalitsus,75001187,Hummuli Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Häädemeeste Vallavalitsus,75000785,Häädemeeste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Iisaku Vallavalitsus,75013641,Iisaku Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Illuka Vallavalitsus,75004843,Illuka Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Imavere Vallavalitsus,75004866,Imavere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Juuru Vallavalitsus,75023786,Juuru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Jõgeva Vallavalitsus,75003594,Jõgeva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Jõhvi Vallavalitsus,75009444,Jõhvi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Järva-Jaani Vallavalitsus,75008261,Järva-Jaani Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Järvakandi Vallavalitsus,75020998,Järvakandi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kaarma Vallavalitsus,75004145,Kaarma Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kabala Vallavalitsus,75004062,Kabala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kaisma Vallavalitsus,75001359,Kaisma Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Kaiu Vallavalitsus,75025331,Kaiu Vallavalitsus,GOV_KOV,
