Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
KOV,Pärnu Linnavalitsus,75000064,Pärnu Linnavalitsus,valla või linna ametiasutus,
KOV,Kohtla-Järve Linnavalitsus,75001017,Kohtla-Järve Linnavalitsus,valla või linna ametiasutus,
KOV,Toila Vallavalitsus,75001477,Toila Vallavalitsus,valla või linna ametiasutus,
KOV,Otepää Vallavalitsus,75001566,Otepää Vallavalitsus,valla või linna ametiasutus,
KOV,Luunja Vallavalitsus,75003476,Luunja Vallavalitsus,valla või linna ametiasutus,
KOV,Sillamäe Linnavalitsus,75003909,Sillamäe Linnavalitsus,valla või linna ametiasutus,
KOV,Kihnu Vallavalitsus,75003967,Kihnu Vallavalitsus,valla või linna ametiasutus,
KOV,Viljandi Linnavalitsus,75005222,Viljandi Linnavalitsus,valla või linna ametiasutus,
KOV,Tartu Vallavalitsus,75006486,Tartu Vallavalitsus,valla või linna ametiasutus,
KOV,Tartu Linnavalitsus,75006546,Tartu Linnavalitsus,valla või linna ametiasutus,
KOV,Kadrina Vallavalitsus,75007824,Kadrina Vallavalitsus,valla või linna ametiasutus,
KOV,Vinni Vallavalitsus,75008746,Vinni Vallavalitsus,valla või linna ametiasutus,
KOV,Antsla Vallavalitsus,75010418,Antsla Vallavalitsus,valla või linna ametiasutus,
KOV,Raasiku Vallavalitsus,75010708,Raasiku Vallavalitsus,valla või linna ametiasutus,
KOV,Maardu Linnavalitsus,75011470,Maardu Linnavalitsus,valla või linna ametiasutus,
KOV,Kose Vallavalitsus,75011547,Kose Vallavalitsus,valla või linna ametiasutus,
KOV,Väike-Maarja Vallavalitsus,75011694,Väike-Maarja Vallavalitsus,valla või linna ametiasutus,
KOV,Haapsalu Linnavalitsus,75012802,Haapsalu Linnavalitsus,valla või linna ametiasutus,
KOV,Haljala Vallavalitsus,75013144,Haljala Vallavalitsus,valla või linna ametiasutus,
KOV,Loksa Linnavalitsus,75013457,Loksa Linnavalitsus,valla või linna ametiasutus,
KOV,Harku Vallavalitsus,75014132,Harku Vallavalitsus,valla või linna ametiasutus,
KOV,Keila Linnavalitsus,75014422,Keila Linnavalitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014920,Tallinna Linnakantselei,valla või linna ametiasutus,
KOV,Muhu Vallavalitsus,75018710,Muhu Vallavalitsus,valla või linna ametiasutus,
KOV,Anija Vallavalitsus,75018816,Anija Vallavalitsus,valla või linna ametiasutus,
KOV,Kohila Vallavalitsus,75018851,Kohila Vallavalitsus,valla või linna ametiasutus,
KOV,Saku Vallavalitsus,75019738,Saku Vallavalitsus,valla või linna ametiasutus,
KOV,Võru Linnavalitsus,75019980,Võru Linnavalitsus,valla või linna ametiasutus,
KOV,Viru-Nigula vallavalitsus,75020500,Viru-Nigula vallavalitsus,valla või linna ametiasutus,
