Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
Keskvalitsus,Rahandusministeerium,70000272,Rahandusministeerium,riigi ametiasutused,
Keskvalitsus,Siseministeerium,70000562,Siseministeerium,riigi ametiasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,70000734,Regionaal- ja Põllumajandusministeerium,riigi ametiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,70000740,Haridus- ja Teadusministeerium,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,70000898,Justiits- ja Digiministeerium,riigi ametiasutused,
Keskvalitsus,Kultuuriministeerium,70000941,Kultuuriministeerium,riigi ametiasutused,
Keskvalitsus,Kliimaministeerium,70001231,Kliimaministeerium,riigi ametiasutused,
Keskvalitsus,Sotsiaalministeerium,70001952,Sotsiaalministeerium,riigi ametiasutused,
Keskvalitsus,Välisministeerium,70002526,Välisministeerium,riigi ametiasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,70003158,Majandus- ja Kommunikatsiooniministeerium,riigi ametiasutused,
Keskvalitsus,Kaitseministeerium,70004502,Kaitseministeerium,riigi ametiasutused,
Keskvalitsus,Riigikantselei,70004809,Riigikantselei,põhiseaduslikud institutsioonid ja Riigikantselei,
Keskvalitsus,Riigikontroll,74000056,Riigikontroll,põhiseaduslikud institutsioonid ja Riigikantselei,
Keskvalitsus,Riigikogu Kantselei,74000101,Riigikogu Kantselei,põhiseaduslikud institutsioonid ja Riigikantselei,
Muu avalik sektor,Eesti Pank,74000174,Eesti Pank,avalik-õiguslikud asutused,
Keskvalitsus,Vabariigi Presidendi Kantselei,74000234,Vabariigi Presidendi Kantselei,põhiseaduslikud institutsioonid ja Riigikantselei,
Keskvalitsus,Õiguskantsleri Kantselei,74000464,Õiguskantsleri Kantselei,põhiseaduslikud institutsioonid ja Riigikantselei,
Keskvalitsus,Riigikohus,74001127,Riigikohus,põhiseaduslikud institutsioonid ja Riigikantselei,
Keskvalitsus,Sotsiaalministeerium,10050157,"aktsiaselts ""Põlva Haigla""",äriühingud ja tulundusasutused,
Keskvalitsus,Kliimaministeerium,10057662,OÜ Eesti Keskkonnauuringute Keskus,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,10137319,aktsiaselts TALLINNA SADAM,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10203566,AS Levira,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,10216057,aktsiaselts Saarte Liinid,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10224137,Imatra Elekter Aktsiaselts,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10281170,AKTSIASELTS EESTI LOTO,äriühingud ja tulundusasutused,
Keskvalitsus,Kultuuriministeerium,10328440,osaühing Tallinnfilm,äriühingud ja tulundusasutused,
Muu avalik sektor,Regionaal- ja Põllumajandusministeerium,10328799,Aktsiaselts Eesti Post,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,10341618,Lennuliiklusteeninduse Aktsiaselts,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,10349560,Aktsiaselts Tallinna Lennujaam,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,10351752,aktsiaselts Valga Haigla,äriühingud ja tulundusasutused,
Muu avalik sektor,Majandus- ja Kommunikatsiooniministeerium,10397748,Aktsiaselts Metrosert,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,10399457,AS HOOLEKANDETEENUSED,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10421629,Eesti Energia AS,äriühingud ja tulundusasutused,
Keskvalitsus,Kliimaministeerium,10462309,AS ALARA,äriühingud ja tulundusasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,10520953,AS Eesti Liinirongid,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10579981,Enefit Industry AS,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,10633284,Enefit Solutions AS,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,10701123,Aktsiaselts Teede Tehnokeskus,äriühingud ja tulundusasutused,
Muu avalik sektor,Haridus- ja Teadusministeerium,10739410,"osaühing ""Eerika Farm""",äriühingud ja tulundusasutused,
Muu avalik sektor,Regionaal- ja Põllumajandusministeerium,10787656,AS VIREEN,äriühingud ja tulundusasutused,
Keskvalitsus,Rahandusministeerium,10788733,Riigi Kinnisvara Aktsiaselts,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,10833853,AS Lõuna-Eesti Haigla,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,11005420,osaühing METSAKOHVIK,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,11021057,Aktsiaselts GREEN MARINE,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,11022625,Elering AS,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,11050857,Elektrilevi OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,11119419,Enefit Wind Purtse AS,äriühingud ja tulundusasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,11124171,AS Eesti Varude Keskus,äriühingud ja tulundusasutused,
Muu avalik sektor,Haridus- ja Teadusministeerium,11136278,OÜ Torni Hostel,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,11163254,Osaühing TS Shipping,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,11184032,Enefit Green AS,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,11206785,AS Tallinn Airport GH,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,11285842,Pesuring OÜ,äriühingud ja tulundusasutused,
Keskvalitsus,Kliimaministeerium,11575838,aktsiaselts Eesti Raudtee,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,11575850,AS Raudtee Varad,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,11693868,Enefit Outotec Technology OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Haridus- ja Teadusministeerium,11748687,OÜ Muusa Majutus,äriühingud ja tulundusasutused,
Muu avalik sektor,Majandus- ja Kommunikatsiooniministeerium,11948506,Aktsiaselts KredEx Krediidikindlustus,äriühingud ja tulundusasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,12071991,AS SmartCap,äriühingud ja tulundusasutused,
Keskvalitsus,Sotsiaalministeerium,12550059,Osaühing HNRK Abivahendikeskus,äriühingud ja tulundusasutused,
Muu avalik sektor,Regionaal- ja Põllumajandusministeerium,12670875,Picapac OÜ,äriühingud ja tulundusasutused,
Keskvalitsus,Kliimaministeerium,12678055,TS Laevad OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Haridus- ja Teadusministeerium,12678538,E-Kyla Arendus OÜ,äriühingud ja tulundusasutused,
Keskvalitsus,Kliimaministeerium,12734109,osaühing Rail Baltic Estonia,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,12755407,E-dok OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Regionaal- ja Põllumajandusministeerium,12760791,Eesti Põllumajandusloomade Jõudluskontrolli AS,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,12894095,Attarat Holding OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,12927802,Osaühing Transpordi Varahaldus,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,12927848,Aktsiaselts Nordic Aviation Group,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,14251485,AS RV Leasing,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,14665542,Enefit Wind OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Majandus- ja Kommunikatsiooniministeerium,16077631,FINBITE OÜ,äriühingud ja tulundusasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,16124187,UniTartu Ventures OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,16130213,Enefit AS,äriühingud ja tulundusasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,16135392,Tehnopol Ventures OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,16234361,Raudtee Varad Holding OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Kliimaministeerium,16235461,Operail Repairs OÜ,äriühingud ja tulundusasutused,
Muu avalik sektor,Rahandusministeerium,17209649,Enefit Power OÜ,äriühingud ja tulundusasutused,Registreeritud 01.04.2025
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,70000065,Riigi Laboriuuringute ja Riskihindamise Keskus,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,70000303,Konkurentsiamet,riigi ametiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,70000310,Registrite ja Infosüsteemide Keskus,hallatavad riigiasutused,
Keskvalitsus,Rahandusministeerium,70000332,Statistikaamet,riigi ametiasutused,
Keskvalitsus,Rahandusministeerium,70000349,Maksu- ja Tolliamet,riigi ametiasutused,
Keskvalitsus,Siseministeerium,70000585,Päästeamet,riigi ametiasutused,
Keskvalitsus,Siseministeerium,70000591,Kaitsepolitseiamet,riigi ametiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,70000846,Kehtna Kutsehariduskeskus,hallatavad riigiasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,70000869,Maaelu Teadmuskeskus,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,70000906,Prokuratuur,riigi ametiasutused,
Keskvalitsus,Kultuuriministeerium,70000958,Muinsuskaitseamet,riigi ametiasutused,
Keskvalitsus,Kultuuriministeerium,70001024,Eesti Rahvakultuuri Keskus,hallatavad riigiasutused,
Keskvalitsus,Kultuuriministeerium,70001030,Eesti Lastekirjanduse Keskus,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,70001113,Tallinna Vangla,hallatavad riigiasutused,
Keskvalitsus,Kliimaministeerium,70001490,Transpordiamet,riigi ametiasutused,
